ID,Link,Date,League,Boost Activation Time,Boost Stop Time,Boost Duration,Multitap LVL,CPT Before Boost,CPT With Boost,Boost Multiplicator,Count of Taps,Taps Per Second,Coins Per Second,Balance Before Boost,Balance After Boost,Boost Income,Energy Limit,Autoclicker Used
190,https://www.youtube.com/watch?v=m5VIqiqzoXw,02/07/2024,Platinum,0:02:31,0:02:41,0:00:10,9,10,20,2,157,15.7,314.8,5282597,5285745,3148,3500,N
191,https://www.youtube.com/watch?v=m5VIqiqzoXw,02/07/2024,Platinum,0:04:16,0:04:26,0:00:10,9,10,70,7,129,12.9,904.2,5292841,5301883,9042,3500,N
192,https://www.youtube.com/watch?v=m5VIqiqzoXw,02/07/2024,Platinum,0:04:36,0:04:46,0:00:10,9,10,20,2,149,14.9,297.6,5301883,5304859,2976,3500,N
193,https://www.youtube.com/watch?v=m5VIqiqzoXw,02/07/2024,Platinum,0:04:57,0:05:07,0:00:10,9,10,20,2,141,14.1,281.7,5305247,5308064,2817,3500,N
194,https://www.youtube.com/watch?v=nkoZ1ke6mSE,01/06/2024,Gold,0:07:19,0:07:29,0:00:10,4,5,25,5,53,5.3,133.5,415630,416965,1335,3000,N
195,https://www.youtube.com/watch?v=LidH6drzFpc,01/10/2024,Gold,0:18:02,0:18:13,0:00:11,9,10,50,5,84,7.6,380.1,1417619,1421800,4181,3000,N
196,https://www.youtube.com/watch?v=V-9zuak7u0s,01/14/2024,Platinum,0:02:10,0:02:20,0:00:10,9,10,100,10,30,3.0,300.0,2716137,2719137,3000,3000,Y
197,https://www.youtube.com/watch?v=V-9zuak7u0s,01/14/2024,Platinum,0:04:56,0:05:06,0:00:10,11,12,180,15,34,3.4,612.0,175679,181799,6120,6000,Y
198,https://www.youtube.com/watch?v=V-9zuak7u0s,01/14/2024,Platinum,0:05:14,0:05:24,0:00:10,11,12,180,15,36,3.6,640.8,181799,188207,6408,6000,Y
199,https://www.youtube.com/watch?v=V-9zuak7u0s,01/14/2024,Platinum,0:05:58,0:06:08,0:00:10,11,12,120,10,51,5.0,606.0,188207,194267,6060,6000,Y
200,https://www.youtube.com/shorts/Gey_XVoCA60,02/10/2024,Platinum,0:00:10,0:00:20,0:00:10,9,10,70,7,114,11.4,797.6,2165592,2173568,7976,4500,N
201,https://www.youtube.com/shorts/pydebkR7ylM,03/25/2024,Gold,0:00:35,0:00:45,0:00:10,0,1,2,2,264,26.4,52.7,1312127,1312654,527,1000,Y
202,https://www.youtube.com/watch?v=kwUg8PgPpuI,01/11/2024,Platinum,0:00:10,0:00:20,0:00:10,11,12,60,5,87,8.7,523.1,3012425,3017656,5231,6500,N
203,https://www.youtube.com/watch?v=uYIXLxr4Aj4,01/21/2024,Platinum,0:00:00,0:00:10,0:00:10,9,10,20,2,129,12.9,258.2,7055782,7058364,2582,6000,N
204,https://www.youtube.com/watch?v=uYIXLxr4Aj4,01/21/2024,Platinum,0:05:05,0:05:15,0:00:10,9,10,70,7,172,17.2,1204.6,7079409,7091455,12046,6000,N
205,https://www.youtube.com/watch?v=uYIXLxr4Aj4,01/21/2024,Platinum,0:05:28,0:05:39,0:00:11,9,10,20,2,158,14.4,287.6,7091726,7094890,3164,6000,N
206,https://www.youtube.com/watch?v=uYIXLxr4Aj4,01/21/2024,Platinum,0:00:00,0:00:10,0:00:10,9,10,70,7,87,8.7,606.8,7094994,7101062,6068,6000,N
207,https://www.youtube.com/watch?v=IvG499Y4loM,01/12/2024,Bronze,0:02:22,0:02:32,0:00:10,0,1,6,6,64,6.4,38.5,5266,5651,385,1000,N
208,https://www.youtube.com/watch?v=IvG499Y4loM,01/12/2024,Bronze,0:04:10,0:04:20,0:00:10,2,3,15,5,116,11.6,173.5,2556,4291,1735,1500,N
209,https://www.youtube.com/watch?v=IvG499Y4loM,01/12/2024,Silver,0:08:02,0:08:13,0:00:11,6,7,35,5,107,9.8,341.8,21060,24820,3760,3500,N
210,https://www.youtube.com/watch?v=IvG499Y4loM,01/12/2024,Silver,0:09:10,0:09:20,0:00:10,6,7,35,5,76,7.6,267.4,28862,31536,2674,3500,N
211,https://www.youtube.com/watch?v=VtzcvbYfESw,01/15/2024,Bronze,0:00:43,0:00:53,0:00:10,0,1,10,10,77,7.7,77.0,25000,25770,770,1000,N
212,https://www.youtube.com/watch?v=VtzcvbYfESw,01/15/2024,Silver,0:04:15,0:04:25,0:00:10,4,5,50,10,85,8.5,423.1,7059,11290,4231,2500,N
213,https://www.youtube.com/watch?v=VtzcvbYfESw,01/15/2024,Silver,0:05:31,0:05:41,0:00:10,4,5,50,10,90,9.0,448.3,759,5242,4483,3000,N
214,https://www.youtube.com/watch?v=VtzcvbYfESw,01/15/2024,Silver,0:06:06,0:06:16,0:00:10,4,5,50,10,87,8.7,435.3,4229,8582,4353,3000,N
215,https://www.youtube.com/watch?v=gQLO8BITn9w,01/06/2024,Gold,0:00:01,0:00:11,0:00:10,14,15,750,50,66,6.6,4951.5,3520840,3570355,49515,8000,N
216,https://www.youtube.com/watch?v=gQLO8BITn9w,01/06/2024,Gold,0:00:24,0:00:34,0:00:10,14,15,75,5,113,11.3,844.5,3570430,3578875,8445,8000,N
217,https://www.youtube.com/watch?v=gQLO8BITn9w,01/06/2024,Gold,0:00:41,0:00:51,0:00:10,14,15,75,5,95,9.5,715.5,3578920,3586075,7155,8000,N
218,https://www.youtube.com/watch?v=gQLO8BITn9w,01/06/2024,Gold,0:01:08,0:01:18,0:00:10,14,15,75,5,94,9.4,705.9,3586165,3593224,7059,8000,N
219,https://www.youtube.com/watch?v=LssVqguvTHw,03/11/2024,Silver,0:01:17,0:01:27,0:00:10,0,1,2,2,116,11.6,23.1,30740,30971,231,1000,Y
